name,type,price,material,number_of_seats,colour,washable_cover
JÄTTEBO,chaise longue,33995,undetermined,1,beige,0
KIVIK,chaise longue,19895,undetermined,1,beige,0
VIMLE,chaise longue,30800,undetermined,1,black,0
JÄTTEBO,chaise longue,33995,undetermined,1,beige,0
LANDSKRONA,chaise longue,21995,undetermined,1,red,0
SÖDERHAMN,chaise longue,23395,undetermined,1,grey,0
GRÖNLID,chaise longue,37800,undetermined,1,grey,0
JÄTTEBO,chaise longue,28795,undetermined,1,yellow,0
JÄTTEBO,chaise longue,28795,undetermined,1,yellow,0
KIVIK,chaise longue,32995,undetermined,1,black,0
JÄTTEBO,chaise longue,62790,undetermined,1,beige,0
VIMLE,chaise longue,30200,undetermined,1,blue,0
VIMLE,chaise longue,29995,undetermined,1,black,0
LANDSKRONA,chaise longue,28495,undetermined,1,black,0
GRÖNLID,chaise longue,24100,undetermined,1,green,0
VIMLE,chaise longue,44995,undetermined,1,black,0
JÄTTEBO,chaise longue,34395,undetermined,1,yellow,0
KIVIK,chaise longue,19895,undetermined,1,black,0
KIVIK,chaise longue,18295,undetermined,1,grey,0
KIVIK,chaise longue,17995,undetermined,1,beige,0
VIMLE,chaise longue,33300,undetermined,1,red,0
VIMLE,chaise longue,30800,undetermined,1,blue,0
JÄTTEBO,chaise longue,34395,undetermined,1,yellow,0
LANDSKRONA,chaise longue,21995,undetermined,1,red,0
SÖDERHAMN,chaise longue,25295,undetermined,1,natural colour,0
SÖDERHAMN,chaise longue,25295,undetermined,1,grey,0
SÖDERHAMN,chaise longue,22895,undetermined,1,red,0
GRÖNLID,chaise longue,35500,undetermined,1,grey,0
GRÖNLID,chaise longue,34700,undetermined,1,red,0
JÄTTEBO,chaise longue,28795,undetermined,1,beige,0
JÄTTEBO,chaise longue,28795,undetermined,1,beige,0
JÄTTEBO,chaise longue,63190,undetermined,1,yellow,0
VIMLE,chaise longue,31500,undetermined,1,grey,0
VIMLE,chaise longue,29800,undetermined,1,black,0
LANDSKRONA,chaise longue,28495,undetermined,1,brown,0
VIMLE,chaise longue,31500,undetermined,1,beige,0
VIMLE,chaise longue,32100,undetermined,1,grey,0
LANDSKRONA,chaise longue,21995,undetermined,1,red,0
LANDSKRONA,chaise longue,21995,undetermined,1,red,0
SÖDERHAMN,chaise longue,25295,undetermined,1,beige,0
SÖDERHAMN,chaise longue,23995,undetermined,1,brown,0
GRÖNLID,chaise longue,35500,undetermined,1,green,0
GRÖNLID,chaise longue,34400,undetermined,1,white,0
GRÖNLID,chaise longue,37800,undetermined,1,natural colour,0
JÄTTEBO,chaise longue,28195,undetermined,1,grey,0
JÄTTEBO,chaise longue,61590,undetermined,1,grey,0
VIMLE,chaise longue,32300,undetermined,1,red,0
VIMLE,chaise longue,32300,undetermined,1,red,0
VIMLE,chaise longue,31500,undetermined,1,beige,0
LANDSKRONA,chaise longue,28495,undetermined,1,black,0
LANDSKRONA,chaise longue,28495,undetermined,1,brown,0
JÄTTEBO,chaise longue,33395,undetermined,1,grey,0
JÄTTEBO,chaise longue,33395,undetermined,1,grey,0
JÄTTEBO,chaise longue,28195,undetermined,1,grey,0
GRÖNLID,chaise longue,23400,undetermined,1,white,0
GRÖNLID,chaise longue,24100,undetermined,1,red,0
GRÖNLID,chaise longue,24100,undetermined,1,grey,0
GRÖNLID,chaise longue,24800,undetermined,1,grey,0
GRÖNLID,chaise longue,24800,undetermined,1,natural colour,0
JÃ„TTEBO,modular,161770,soft,7,beige,0
SÃ–DERHAMN,modular,75285,extra soft,6,grey,0
KIVIK,modular,29995,medium firm,2,grey,1
JÃ„TTEBO,modular,86685,soft,3,yellow,0
JÃ„TTEBO,modular,33995,undetermined,2,beige,0
GRÃ–NLID,modular,80785,extra soft,5,green,1
SÃ–DERHAMN,modular,24395,undetermined,3,grey,0
